title,review,First violation,Second violation,Third violation
Feedback,"Hi. I just got a new phone and I wanted to download YouTube. When I got it, I didn’t realize HOW KID FRIENDLY it was. I literally can’t watch Erika Costell for crying out loud. This app needs to be less kid friendly. I hate this.",Truth,Free will,Honesty
In appropriate ads,I was using this app with my 7 yr old and a very in appropriate ad appeared. It was a cartoon but a girl and boy were in bed under the sheets. I cut it off real quick before I caught the name. This infuriates me. Nothing is off limits nowadays. I’m sickened by this. Deleted the app. 😡😡,Truth,Visibility,Honesty
Unsafe,"The &#34;Snap Map&#34; is dangerous. First of all, I don't understand why it was made in the first place. So you can see your friends? Wow so cool, right?! No! I know you can turn on ghost mode, but people who have zero common sense will leave it on. You don't want people just knowing where you are all the time. I know it's only your friends, but friends aren't always who you think they are. Also, what if someone's phone got stolen? Then, their friends could be in big trouble or be unsafe. Who would they blame? Snapchat. Then, you will get sued. So, I highly recommend taking away the map. Also, by the way, this is coming from a 13 year old. :)",Power,Truth,Free will
This App Ruined My Life,This app ruined my life. Thanks a lot boomers. My mom doesn’t trust me anymore and I’m not allowed to go to certain places. Thanks for ruining my teenage years and I hope you know you’ve ruined other lives as well. xoxo,Power,Free will,Truth
Reliability,This is the most unreliable app I have ever seen. Just when you can't find the kids it says they have Ben sitting in the house for 6 days. The only one it tracks 100% is me. I emailed them a over a week ago with no response sorry folks but it is just not something to rely on when you have teenagers on the move.,No violation, , 
Kids hacking the app,"I really don’t know how he is doing it but my son turned off the application as he please. He doesn’t stop sharing his location, it just stop at a place and “stays “ at the same place until he do whatever he is doing to turn it back on. There should be some kind of password so they can’t interfere with the app. I am not satisfied with how easily kids can’t manipulate the app. Completely disappointed.",Truth,Honesty,Power
for all the parents,"tracking your kid won’t do anything except show them you don’t trust them... you know if your kid was going on to sneak out they would leave their phone at home, they aren’t stupid. a kid has a one out of 3000 chance of being kidnapped. there’s reason to download this app and spend your money on it.",Power,Free will,Truth
Designed to force subscription,This app is great if you want their subscription shoved down your throat the entire time. 10$ a week for this joke of a app is insane. I feel bad for the people with children that mistakenly signed their parents up for a subscription.,Honesty,Free will,Power
THIS APP IS DESTROYING ITSELF,"all big youtubers are starting to quit because of demonetization, stop ruining your app, I understand family friendly content but some people are mature and can handle some maturity, if you really want your app to do better ad a family friendly filter not alter the whole platform.

And take off the stream to TV option in the video itself, I live in an aparntment and it always connects to my neighbors fire stick and it gets on my nerves",Truth,Free will,Attention
What a joke,"So YouTube has supposed guideline for people to post. They fairly state that you are not allowed to post anything that promotes violence or danger. Fine, makes sense. I get that. But how are you going to restrict someone’s posts simply because they put a few cuss words in there. You need to leave it to the parents to monitor what their kids watch. Plain and simple. This is the perfect example of how social media outlets are subtly trying to inhibit America’s freedom of speech. Nuff said.",Truth,Free will,Honesty
Worst app ever 😡😡😡😤😠😤🤬,"DON’T GET THIS APP 😠😠😠😠😠
Every Chanel you watch a lot gets called inappropriate from cat videos to wash hands songs gets called inappropriate it’s for ages 1-12 but it only goes to age 5 I mean come on go to the toilet songs they don’t get deleted this app is so stupid I can’t explain how terrible it is. But you are getting it anyway kids speak up and tell your mom, dad or guardian this app stinks. It’s annoying stupid terrible and torcher so...  DON’T GET THIS APP!!!!!!! 😠😡😤🤬🤬🤬😡😠😤🤬😠😠😡😠😤😤😠😡😡😠😤😠😡😠😤🤬😤😠😠😤🤬🤬😤😤😠😠😭😤😤😤😤😤😤😠😠😠😠😡😠😠😤😠😠😡😡😡😠😤😱🤬😡😠😠😤😤😠😠😡😡🤬😠🤬🤬🤬🤬🤬🤬😤😠😡😡😠😠",Honesty,Truth,Power
Doesn’t really call anyone,So I’ve been trying to call my mother wife friend for a while and not understanding why nobody ever answers then I called my wife while she was in the house with me and it rang and rang and rang on my end calling from this app but it never rang on her phone and my friends wife family would say they never got a missed call it’s because it was never calling them. The app does not work,Truth,Honesty,Free will
Why,What is the point of giving your child the phone if you don't trust them!! Your child practically has to ask you for any apps they want older than their age and it is basically making you kid bother you more than you want them to.Might as well just take the phone away,Power,Free will,Visibility
Find my iPhone❌❌❌❌❌❌❌❌,"Someone should do this right I just thought I lost my phone tried to locate it with this app, it had me nocking my neighbors doors telling them my phone was in side the location would move constantly I feel like an idiot when I realized it was in my house THANKS FIND MY IPhone App!",Honesty,Truth,Cognition
Not Acceptable,"This app is totally unacceptable to make children use. You only live once, and it isn’t okay to be controlled like some sort of puppets. We have our devices because our parents gave them to us. They made the decision to give us that responsibility and now they have to trust us.",Power,Free will,Visibility
Annoyed!!!,I think it's BS to see inappropriate snaps of almost naked women especially that girl Kylie all over snap. I have children who have the app to share with family. Why isn't there an option to remove the inappropriate snaps from my page???,Visibility,Truth,Free will
Uggggg,I do not recommend this app and yes I am the child not the parent but my dad applied this app and we had to completely reset my phone because the app messed up my phone I lost everything so don’t use,Free will,Truth,Capacity
This is BAD!,"If you are a parent that wants to get this app, don’t. It’s creepy and it shows you have no trust or faith in your family. It has made me and my mom grow so far apart and makes me uncomfortable. It burns data and battery life while your phone is inactive",Free will,Visibility,Power
Blocking,I had someone who blocked me send me a message. We should at least be able to see who it is. They mentioned my baby when the only people who know I have a baby are family members. I would like to know who they are for her safety. If someone sends you a message you should be able to see who they are.,Visibility,Free will,Truth
People being werid,"Inappropriate things in this app so therefor this makes it harsh because the person in the screen only knows who they are while lying at the same time so it makes everything really hard for alott of people as well so like yahh.
Need real people or suicidal will keep on happening you know.",Truth,Visibility,Free will
This app is absolute TRAAAAASH!!!,"This app is a complete scam, it deletes your apps and steals all the information about your iTunes account. Some FBI agents showed up at my house wondering about my lifestyle and I think it had something to do with the app. I don’t recommend this app at all, it is made by American parents that want to be overprotective of their child.",Truth,Free will,Honesty
DO NOT BUY THIS APP READ THIS REVIEW,So this is an app full of Pressuring people and people that hate on you for your age. I was a problem. A difficulty. Ug. This place never listens. I found no help because of people harrasing me. Hackers everywhere. Please don't get this app,Free will,Visibility,Truth
The unreliability of this app got me grounded,"My mom installed the app onto my android in order to make sure i wasn’t going over the speed limit. On my way to and from school, the app stopped updating my location and my mom interpreted this as me turning it on and off, she even called support and the guy said that there’s no reason why it would’ve happened, when I did NOT do it. Words cannot describe my frustration with this app and it’s support staff. This app got me grounded for something I did not do!",Truth,Visibility,Free will
Incredibly UNSAFE!!!,"I my daughter can text her friends, yes. But she can also text people she doesn't know. Teenagers create an account on Kik, using their real names, and scum bags from all around the world can easily find them and start a conversation with these teenagers just by searching their names and clicking &#34;start chatting.&#34; People can also search for users by age. RIDICULOUS. My daughter has had people she doesn't know send VERY VERY explicit pictures of themselves. She never asked for them to, they just did it. They started communicating with her straight out of the blue. Guess what I heard on the news today? A thirteen year-old girl was murdered by hooking up with a guy, an 18 year-old student at Virginia Tech, who committed the crime. There's a lot more to this story, but the point is, I DO NOT SUGGEST USUING THIS APP. THIS IS VERY UNSAFE FOR CHILDREN AND IT SHOULD BE TAKEN DOWN IMMEDIATELY FOR THE SAFETY OF CHILDREN!!!!!",Visibility,Free will,Truth
I’m sort of shocked?,"I was in my bedroom one day minding my own business. Then my grandma walks in an makes me download app. I want to specify I have never been in trouble with the law and I’m a pretty solid student in school with all A’s. I thought over the years I built a relationship of trust with her and the one day I decide I want to go out and have a get together with friends she instantly makes me get 360 the next day. I saw this as a smack to the face and I can’t do anything about it. To make things a little more intense she even made both of my aunts who are in their late 30’s and early 40’s get it. 

I can see the bright side of this app, sure! But it just feels like a betrayal of trust. When all my life I just wanted to be a proper kid/teenager.",Free will,Power,Visibility
This was very scary,I love this app at first but then I went to it one day and i went in somebody’s family and I could see where they were but they couldn’t see me and right after that I couldn’t get back into my own family so I deleted it because someone could easily do that to my family to see if we are home or not,Truth,Visibility,Free will
Unnecessary app,"The only real purpose of this app is for parents to stalk their children. Many kids will also fin out quickly with the app closed and with location services turned off for the app they will again have their privacy. Waste of time, storage space, and effort.",Visibility,Free will,Truth
HORRIBLE!,Don’t download this app it has a lot of creeps who find out your social media’s and stalk little girls. PLEASE TAKE DOWN THIS APP! It is crazy how nobody is noticing all of this. Downloaded at your own risk. Also these men with record little girls lived and send them to other people.,Visibility,Free will,Truth
Decent app but needs some features to be added .,"You need to be able to limit the volume inside the app so a child cannot just use the buttons to turn it up
There needs to be a way to block product reviews as suitable videos for a child to watch. I should be able to stop my daughter from being able to browse for toy reviews",No violation, , 
Work app-getting unwanted porn,I have to have this app for my job. I keep receiving private porn messages. I’m very irritated with it. I’m a mother and not the type of person who wants that kind of thing lingering on my phone screen until I notice it.,Visibility,Power,Free will
Last update it's baaaddddd,Snapchat please the last update it's so bad ...I can't feel safe when I'm snaping because someone will send it to another please helllppp I want my privacy backkk please I only use snap chat and now I can't feel safe 😔,Visibility,Free will,Truth
Disappointed with the update,"So... Snapchat is the only App that I have to just be myself since I have to be censored on my other social media accounts due to supervisors, church persons and elderly family having connected with me on apps like Facebook. However, this update is TRASH!!! I’ve watched the video & have tried to “get with it”, but it’s over complicated. Just leave it the way it was! Please & thank you.",No violation, , 
YT deserves ZERO stars,The way you’ve gone about restricting users from making creative content all for the sake of saving yourselves from possibly being sued by Timmy’s mom for her lazy parenting is absolutely disgusting and VILE. You are messing with people’s LIVELIHOODS just to help all the Susans of the world babysit and monitor their kid’s viewings on YT. Your platform will be dead by the start of the new year if you keep pandering to lazy f-ing parents. GET YOUR STUFF TOGETHER YOUTUBE.,Power,Free will,Visibility
Extremely SLOW,"For an app that is designed to give parents the ability to track and contact their young children, this app moves as slow as dial-up. I swear, they put $20 into developing the app, and that’s it.",No violation, , 
New update,I hate the new update!!! It does not work at all! When I try to do the filters it does not work 😒! When one of my friends text me I can't reply! My 6 sisters and mom and dad have the same problem! I'm sure my family is not the only one that does not like the new update 😘✌🏻️~riri,No violation, , 
Why?,Do u hate children? My parents control everything I do. This is the one thing I had to myself. This is terrible. Now I can't even talk to my friends or post a picture or go on Instagram without asking my mom to unlock my phone.,Power,Free will,Statutes
Don’t download this app there’s cussing and violence bad for you child and toddlers,My children was watch cussing and violent videos this is not for kid or and thing it’s not good I would not recommend this app is terrible it’s not for kid it’s adult I’m very very disappointed that my children are cussing but stop cause I told them better then this stupid app don’t download please don’t it’s not worth it 😡😡😡😡😡😡,Visibility,Truth,Statutes
Horrible app,"Someone i know, with only 9 years who downloaded kik, and then on the app someone started to chat with him saying sex, kiss, anal sex and all the kinds of stuff. He came to his mother and tolled her all about it, and the child was very scared.

Hate this app, worst out of worst. It is only for people who a serious mental problems",Statutes,Free will,Visibility 
Why.... Just why,Love being stalked 24/7? Love it when your parents know your exact location at all times? Well then get this sorry excuse of an app today! Only $0.00 but also takes any fun you've ever had away!,Power,Visibility,Free will
Terrible,"My boyfriend got extremely mad at me because it said I was all over the place while I was saying I was home. Which I was. Not very accurate. It said I was miles away, at 4:30 in the morning, while I was actually in bed asleep. Does help with sex offenders though.",Truth,Free will,Honesty
Not safe!,"This app is private, unregulated and does not have privacy/parental controls. It took our 9 year old less than one week to receive inappropriate texts and an invite to go to a chat. This app is a haven for predators. There are much better and safer apps out there.",Visibility,Statutes,Power
you are very dumb,YouTube please look around Your app more there is people in the app SCAMMING children for free Robyn or vbucks children don’t know that it’s not real and don’t know better... you don’t do anything about it you don’t understand how stressful it is to people when kids see some free money website scam. You delete channels for “harassment” WHEN THERE IS PEOPLE GETTING THEIR DATA STOLEN BECAUSE OF YOU NOT DOING ANYTHING,Power,Visibility,Honesty
Injustice,"My mom read a book about the igenration and how we spend time on our phones way to much.
I'm 17 and I'm hardly on my phone as it is accept for creating plans for friends and get together.
FIRST this terrible app signed me out of all my apps. It was horrific and I was miserable. I had to spend hours logging back in. (The biggest reason it took a couple hours is I forgot all my passwords)

SECOND it moves all my apps around and it's really hard to find stuff.
What if I can't call 911?

THIRD
I'm honestly just not gonna buy my kids a phone now.

FOURTH
this is as close to communism in America as we know it

FIFTH
The creator of this app is most likely Kim Jung Un

SIXTH
My mom might be a KGB spy",No violation, , 
Not safe for kids!!!!,"This app is not safe for kids!!! While some videos are cute and innocent, the content is not regulated. I reported a video a few weeks ago because a monster on a video called a woman stupid and said said it wanted to kill her. What?! My son is only 3 years old I don’t want him thinking that’s appropriate behavior. App has been deleted off my phone and his tablet.",Visibility,Truth,Statutes
Confused app,For some reason this app is telling me my son and daughter has left home and they are in the same room as me. I am not enjoying this app at all. I liked the Find Friends better but once I updated to ios13 it was gone.,Truth,Honesty,Visibility
GO HOME AT NIGHT,"HONEST TO GOD DID, NONE OF YOUR MOTHERS TEACH YOU THAT DRIVING AROUND NEIGHBORHOODS AT NIGHT, AND THEN WALKING INTO PEOPLES YARDS IS INAPPROPRIATE. IF THEY DIDN'T IM HERE TO TELL YOU HOW IT IS NOT OKAY. GO HOME!!!!!!!!",Free will,Power,Visibility 
Maybe not such a great app,"My husband thought this would be cool to put on both our iPhones, which he did last nite. I decided to see where he was at for lunch and mess with him. Bad thing is it showed he was at someone's house when he was actually at a restaurant. He called so I knew where he was. If you were an untrusting person it could really upset you. Just sayin... Don't always put so much stock in technology it could come back to bite u.",Truth,Visibility,Honesty
Total waste of money,"This thing is terrible. If you want to know the approximate ZIP Code where your child is located, then I recommend this device. However, if you want any more specific location than that, good luck. The tracking capabilities of this device are terrible. Life 360 and a phone works much better. 

It does allow you to talk with your child, but devices known as telephones also accomplish this.",Truth,Honesty,Free will
Zero stars,It's pretty messed up that I am FORCED to download a terribly reviewed and unnecessary app to read my personal messages. FB is really getting all Big Brother and sketchy and totally invasive. It's gross.,Free will,Visibility,Honesty
Unreliable,"Used to work well with my Foscam as a baby monitor however over the past few months now will suddenly lose signal or the audio will stop working. I tried contacting the app developers and have gotten ZERO help. DON'T buy this as a baby monitor! Last night my 3 year old had a nightmare and woke up screaming. The app had stopped working AGAIN so I didn't hear him. Poor baby was hysterically crying and I finally heard him from upstairs. When you count on an app to help you monitor your precious child and it repeatedly fails, it's unacceptable. Terrible customer service to go with a terrible app! Don't waste your money on this app!!",Honesty,Power,Truth
It’s only a great app if you have an Android,"$55 for premium and it doesn’t offer premium services to iPhone users. Pretty disappointing. Also, very glitchy because I can not see my sons location with using this app on his iPhone. Overall useless for iPhone users.   & ps... to the review who says this app is from hell because her friends parents don’t trust her... oh well. Parents aren’t supposed to trust kids we’re supposed to help them become productive adults and prepare them for life and the filth available to you through modern technologies is what we don’t trust... it’s too accessible and has to be monitored or your brains will go to crap. You sound spoiled. Your friend will be fine.",Truth,Free will,Honesty
Not safe,This app allows you to track Pokemon but who's to say the creators aren't tracking you the app knows where you are and when your there if your a parent then you don't want your child to be in danger and that is exactly what will happen if you by this app! I bought this app just to say this,Visibility,Honesty (claimed),Free will
You are all fools,"Most of these people didn't even do anything. Besides that, if something happened to your child then you are a failure as a parent. It's your fault. Watch your kids. You don't leave your car unlocked with the keys in it do you?then you know people will take the oppertunity if there is one. Don't make one and there won't be any problems.",Power, ,Honesty
DO NOT DOWNLOAD THIS FOR THE SAFETY OF YOUR KIDS!,"This is is not secured and is being hacked! During some kids videos about 4 minutes in something called “momo” appears teaching your kids the “proper” way to commit suicide. It tells them things like how to cut their wrists, while parents are sleeping to turn the stove on and leave it on ect. Please protect your kids from this app!",Truth,Power,Statutes
Needs so many improvements,"I got this so that I'd be able to help my wife out with directions while she's down in LA. It does let me know that she is in LA and which area of LA, but that's about as accurate as It would get. How come I can pinpoint what room I'm in with my phone but this can only give me within a mile. 
    It also needs a &#34;directions&#34; button that would transfer you over to g-maps with the person's location already in.
    All-in-all I'd say this is a great app for scared parents, but to be really useful and worth the money to anyone else it needs a major overhaul.",Truth,Honesty,Free will
Creeper,I had to delete Skype because EVERYNIGHT some random person messaged me inappropriate things. I messaged the person that I didn't know them and it never stopped. It could just be a computer but the fact is EVERYNIGHT I received a message. It's truly unfortunate because my husband and I used it so he could see his daughter when on the road.,Visibility,Free will,Power
Don't forget to turn off Location Sercices,"I don't need people knowing my exact location when chatting in a message.  What's the point? Make a feature that allows you to send your location if you desire, but people shouldn't have to turn off the service to avoid their every move being followed.  Why why why big brother?",Honesty,Free will,Power
Crooks!!,Crooks!!!  Free app but charged $99 for a wagon of 6 smurfberries.  Unbelievable! This game is targeted for children and it's aim is to rip off parents.  I don't know how they are allowed to stay in business.,Honesty,Statutes,Visibility
Not Accurate Anymore,My family has been using this app for a couple of years and just recently have been very disappointed with it. The GPS has not been accurate and there is no tracker information for over an hour for my teenage daughter and this is not the first time this has happened.,Truth,Free will,Visibility
Not too great,I like this app because I can locate where my family is and find them. The app also tells you where they are. I like this app and I recommend it😄 but the thing is the app says that one of my family members comes home first even though we came home at the same time. Also sometimes it says that we left one of our family members at some store or something then it just gets stuck. Also it’s not accurate so I don’t like it all the way☹️,Truth,Free will,Visibility
Good but.....,"I like this app because I can chat with friends and strangers but the only thing is that there are a lot of people who send me Nasty pictures of themselves and others and they won't leave me alone. Don't you guys think it's unacceptable? For me it's not recommended for a teen or a child to get into. Kik, you need to take actions! I'm uninstalling because this is one app you won't want to use ever again",Free will,Power,Statutes
Creepy app steals your contact list,"This app steals your contact list with your permission. Your information goes on some server you don't even know about. All your numbers, your mom your dad and your sis and bro too. If you have addresses in your phone book , they go too.

This is really creepy app. If you have given your number to a friend, and that friend uses this app foolishly and uploads his contact list, your number goes out on their servers.

Found this totally creepy.",Truth,Visibility,Honesty
Maps is a terrible idea,"Maps could potentially be dangerous. A lot of people aren't going to realize they need to go in ghost mode, especially kids. If people wanted to have this feature they could download an app specifically for it. Snapchat shouldn't be one of those. Please remove this feature in the next update.",Free will,Power,Statutes
Needs improvement,"Takes too long to update locations what if it was an emergency, also I am no longer a care giver for my niece and nephew just my kids and it wont let me delete their info from my app, I can only delete my kids which I dont want to do",Truth,Free will,Power
could be better,"Is it only my version - or is everyone else not able to search for directions?

It is good if all you want to do is look at your house - or neighbors house - but worthless if wanting to use it as a navigation device.

Please let me know if I am missing a button.",Truth,Free will,Honesty
Absolutely hate!,"I feel so unsafe using this app. The people that can find you can and most likely WILL make you feel very uncomfortable. Any one can find you and chat you. Plus there is NO way to completely delete your account. Please please only get an account if your willing to have complete strangers talk to you and send you pics. And please use this with caution, don't do anything you will regret like sending inappropriate pics, i never did but I know if I was pressured to I would have regretted it. I have decided to stop using this app, it's not worth it, not worth the getting stalked by 50 year old pervs pretending to be 16 year old kids. People are sick and and creepy. Just take on to consideration that if you use this app, your name will be out there, people will know who you are and literally stalk you and creep on you.",Truth,Visibility,Free will
Disturbed,"Soon they will have an app that will show the entire criminal record for anyone you want to know about. Why not, it's public record and promotes public safety, doesn't it?  Why stop there?  Build an app that tells you anyone's medical history. Afterall, shouldn't we know if the man/woman we are dating has a sexually transmitted disease?  Technology, in this case is a bad thing. Shame on you thin air wireless. Statistics show that 96% of these people will not reoffend. Leave them alone.",Free Will,Power,Visibility
Not good for kids101001010110,My daughter was playing this but got murdered by a man that was sneaking up behind her. There was bLoodDeAtH all over her phone. aT LeasT sHe caUghT BuLbAsoUr1010102001010101092292999190101010101010100101010101110101010010000010111110MURderFromM3110019292929283838299292919101011010101,No violation, , 
Bad app so mad 😠👎👎😡😡😡,I think this app is horrible because kids need freedom and play how much as they want this app is getting annoying like uuu seriously like really we are not baby’s and kids don’t deserve it who’s in with me let’s destroy this app not happy with this app really mad if I made this app i would delete it like uuuu no one never play this game your breaking kids heart,Free will,Power,Visibility
Parents please read,"My parents are recently divorced. My mom has decided it would be best if we got live360. Lemme tell you I’m the youngest of 3, both my brothers are now out of the house; 1 is active air national guard, the other is studying law at Harvard. These two men that I’m glad to call my brothers have been set on great paths without the help of this app. Parents please if your thinking about getting this app at least take it from me, I look forward to leaving my moms house and dread in the hours before going over to her house. So tell me if it is really worth seeing where your child is.",Power,Free Will,Visibility
Important Concern on Abusive Downloaders,There are certain people on this app who are emotionally abusive. Not everyone is this way but I don't think is a good app for people who come to seek help or to help people and end up talking to someone emotionally abusive or hurtful at all has the freedom to download this app and hurt someone really bad.,Truth,Honesty,Power
It was perfect until it wasn’t,"This app was a lifesaver for me being a single parent until recently, when it started showing my family and me coming and going from our current locations at all hours of the day and night, even when we were all sitting at home together. Or showing one of the kids leaving school and coming home while I’m at home knowing they’re not there. Or showing one of our GPS locations turned off when they’re not. One morning it showed my daughter leaving the house, going up the street and coming back home no fewer than 15 times in 20 minutes all while she and I watched a movie together. I am a single parent that works full time and have no way to know when to trust the app and when not to anymore. A total disappointment.",Truth,Visibility,Honesty
Not safe..,"I have 2 children, ages 5 and 6. It's funny that they put the name of this app saying &#34;catch kids wish&#34;. Do you really think that's safe? My 6 year old is questioning me now.Thanks for reading this review.",Truth, ,Statutes
HELP,"Okay, first of all, my mother downloaded this stuff to supposedly &#34;track what I'm doing. I understand that the point of view that this was made from was to help children and not mislead them. I completely understand this, but this app makes my phone glitchy and no matter where I am, it made my phone extremely slow and that is the only problem by me, also it blocks websites that aren't even inappropriate. You can definitely keep this app but make it not affect the working of the phone, and it's just creepy .",Visibility,Power,Free Will
Sad ):,"I get absolutely no freedom at all. It makes me depressed because my mom does not trust me one bit . I’m 17 and she still doesn’t let me go out . I can’t even leave school campus to get lunch after school . She is crazy ): I hate it , it makes me hate her. Everything I do is monitored , and while I will admit I was a bad child at age 14 I feel like I should’ve been regain some trust . It isn’t right to be controlling . It’ll give kids a toxic mind set that controlling and obsessive people are that way because they care . Which I get ... parents are overprotective because they care but it is so unhealthy and can break relationships in the family .",Poewr,Free Will ,Visibility
What happened to the crime info?,"This app used to show crimes and sex offenders near you and I do not see any of this information anymore. As I am a young female who travels alone, I miss the security of being able to tell if the area I am in is safe or not.",Truth,Visibility, 
GPS,I almost got grounded the other day cuz my mom got notified I wasn't in school even though I WAS there all day so thanks a lot to this app for almost getting me in trouble for something I didn't even do 😒,Truth,Visibility,Honesty
NEEDED UPDATE,"This would be the second time I’ve tried to help finding a list I phone. I think the app is good but it ABSOLUTELY NEEDS a feature where you can play the sound even if the I phone is off. I mean tracking the location as well would be great. But in tonight’s case, the phone was shut off by the person who stole it, they turned it on and I was able to track it. But because it was in “lost mode” they turned it off and when I went and confronted the apartment it was in. There was no way to prove it was there (although I knew it was, we were right on top of the location) and playing that sound would have been the best thing wether the phone was off or on! PLEASE try to make this as a trigger where it activated when that sound button is pressed. Clearly we use this because it’s an emergency and are trying to find the phone. This would help so much more for users who’s phone has died or someone turns off to avoid the owner finding it!",No Violation,Free will,Power
Not good...,This app seemed great for my daughter and I but... it wasn't good for our relationship. My daughter stopped talking to me and it was only making it worse. I don't recommend it. The app doesn't even work most of the time.,Truth,Honesty,Free will
Parents:,I’m 21 years old and I would suggest never using this for your kids. It breaks trust pretty severely. I only chose to have it due to my epilepsy - needing people to know where I am if I have a seizure. But the more “strict” a parent is (even passively in this case) the better your kid will learn to lie. Just have them text you/call you when they’re going places or have gotten there. Trust me :/,No violation, , 
Worst app,"Before ATT changed its app it was good, now this family secure app is junk. It couldn’t locate anyone if their life depended on it. It always seems to put them a mile from where they really are and at one point had them in the middle of a river. If your family member is lost and your trying to help track them, it ain’t going to work if there actively moving. Has a hard time tracking you when your still let alone moving.",Truth,Honesty, 
Awful,This app doesn't notify you if anyone calls you or messages you. They only show up a couple hours later and don't actually tell you when they occur. It's the only way I can talk to my mom or else I would not have it on any of my devices. Disappointing.,Truth,Honesty,Free will
"Awful app, furious!!!!!!","First of all, this app “Call Recorder - Int Call”, which has an icon of a gray background and a phone emoji with a red dot to indicator record, and “TapeACall,”  which has an icon of a black, with a gray circle and a smaller red circle inside the gray circle, are the same flipping app and absolute TRASH. 

I am so livid I could break something, because when I needed this app to work, after testing it multiple times with my husband to ensure not only that it works, but that I knew how to use it properly, it did not work!!!!!!!

Unrelated to app but I need to vent:  I unfortunately have a mentally abusive mother who must ALWAYS be the victim, no matter the circumstances. She is cruel, and only stopped being physically abusive when I started fighting back. Child protective services were in our life for a long time, because it was my “fault” and that if I wanted to make things better I’d better lie and say how great things were otherwise my siblings would all hate me (according to her). I was told decades ago by professionals as well as friends and extended family to sever ties permanently, but for reasons unknown even to myself, I’ve continued to try and keep some kind of relationship. I forgave to the extent I was able, and I’ve tried to understand she is mentally ill. I’m married now, with my own children, who are being raised in a very loving, secure, nurturing, and peaceful environment. The other day my 14 year old son overhead her venom on the phone with me before she hung up on me for no good reason, after screaming at me when I’d done nothing wrong at all, only wanted my sister to visit if she was free. He knows a little about my childhood, but not much. He was angered by her treatment towards me. He wanted to call and tell her that I am not hers to torment, that he doesn’t want her near us if that’s what she is even kindasorta like. He ultimately did not, I explained not to let my experiences and feelings affect how he feels about his grandmother - she loves him and treats him decently (visits are few and far between, and me or hubby are always present) and that’s all he need be concerned with. But he’s smart. I think he knows more about my childhood than what I’ve told him. My sister ultimately came over, and she witnessed what I can only describe as a deeply profound moment between mother and son, that had us both bawling and him saying he is happy when I am happy. My sister told my mother she had upset my son but left out any parts my mother could’ve potentially twisted to convince herself that she’s the ever perpetual victim. 

It’s been a few days, my mother shockingly called to apologize. I missed her call but returned it. I accepted her apology, despite her insincerity. Of course she still managed to accuse me of putting lies into my son’s mind to turn him against her. I tried explaining that wasn’t the case at all, that she was distorting something she didn’t understand let alone have the story about. Lies, venom, accusations. I expected after accepting her apology that we would discuss because I like to make sure everyone walks away from a situation on the same page! I wanted to record the conversation for various reasons, one being for my own reference, the manipulation and tactics she uses time and time again. I know ultimately there’s nothing to be gained but more heartache, but it was something I wanted to do. So as she sat there berating me about involving my son to turn him against her because I’ve always been out to destroy her life (that’s why she spent most of my childhood telling me in graphic detail one of her biggest regrets was not aborting me and having me “ripped to pieces”,) to the point that telling others doesn’t even bother me - she said it so often when I was a teen that I’ve been numb to it for well over 20 years. I had my reasons for wanting to record what she had to say, and her mental gymnastics , her justifications and mad ranting...and this app failed to capture any of it!!! I did what I was supposed to, and double checked, and afterward, there was nothing but the first 15 seconds!!!!! 

Going back to this worthless app, besides not liking needing to call a number and do it as a conference call and merge, when placing an outgoing call, anyone also using a smart phone has a high likelihood of knowing something is off. My husband, who has an android, I believe it’s an LG g5? said it showed him it was a conference call. So don’t waste your money. Sorry for the completely unrelated personal drama, I just wanted an outlet after discovering the app was a worthless bunch of garbage.",Truth,Power,Free will
Infantile ugly and useless,This would be embarrassing if I was 12 never mind is an adult using this piece of garbage. Some people actually just want to make phone calls and not have experiences and not be treated like a bunch of little children.  Quite simply the worst app I have ever used from any vendor for any purpose on an iPhone,Truth,Free will,Honesty
I am not amused,"This app was forced upon the people pretty much.  We want our messages and find it more convenient to check our phones than going to a desktop.  If all of the big brother stuff about this app is true, well that makes it worse.",Free will,Honesty?,Power
Great for over the top parents but not accurate,Literally god forbid I'm late for curfew or I don't tell my mom exactly where I am! But at the same time if I'm gonna be late I tell her but 360 likes to say I was somewhere else bc it's never accurate if you're not connected to wifi,Truth,Power,Free Will
Don’t use this app.,This app is horrible. All that’s on here are females begging for money. And guys that that are asking underage girls to flash them and get naked. Plus this app constantly bands people for doing absolutely nothing while the people that are breaking the policy are left only. I’ve never broadcasted on here and had my account disabled.  Seriously what the hell. I report rooms and people that are breaking your app rules. And I get disabled. You people should really disable yourselves. Keep promoting pedophiles and and all the females soliciting people for money.,Statutes,Truth,Power
Really guys?....really?,"Ok guys just.....wow. Me and my girlfriend communicate using this app and I think it's great but there's one small problem....IT FREKIN SHOWS NAKED FOLKS USING YOUR BROWSER JUST LETTING IT ALL HANG OUT FOR THE WORLD TO SEE! My girlfriend was searching for something and it shows A FAT CHICK SPREADING HER LEGS AND MY GIRLFRIEND IS TRAUMATIZED FOR LIFE!! Oh yeah and I have a crazy ex that stalks me and I can't block her, so fix these probs before we find another app to use. Peace ✌️",Visibility,Truth,Free will
Youtube kids,Please do not let your kids to see this please DO NOT HEVE THIS APP !!!! Because momo can appear in you’re scream and is going to make your kids to suicide them self mom are dad’s out there please do not let your kids to see this video in YouTube kid’s,Truth,Statutes,Honesty
